"data";"valor"
"01/01/1995";"-398,7"
"01/02/1995";"-1151,6"
"01/03/1995";"-1019,5"
"01/04/1995";"-565,7"
"01/05/1995";"-781,7"
"01/06/1995";"-871,5"
"01/07/1995";"-110,1"
"01/08/1995";"3,1"
"01/09/1995";"389,5"
"01/10/1995";"241,5"
"01/11/1995";"-160,9"
"01/12/1995";"-145,3"
"01/01/1996";"-50,3"
"01/02/1996";"-108,9"
"01/03/1996";"-540,2"
"01/04/1996";"119,7"
"01/05/1996";"153,6"
"01/06/1996";"-422,4"
"01/07/1996";"-443,4"
"01/08/1996";"-366,1"
"01/09/1996";"-712,1"
"01/10/1996";"-1403,2"
"01/11/1996";"-931,2"
"01/12/1996";"-1932,0"
"01/01/1997";"1080,2"
"01/02/1997";"-1179,8"
"01/03/1997";"-966,6"
"01/04/1997";"-979,0"
"01/05/1997";"-164,5"
"01/06/1997";"-458,7"
"01/07/1997";"-636,3"
"01/08/1997";"-380,4"
"01/09/1997";"-920,8"
"01/10/1997";"-925,6"
"01/11/1997";"-1365,0"
"01/12/1997";"-854,3"
"01/01/1998";"-808,5"
"01/02/1998";"-312,6"
"01/03/1998";"-980,5"
"01/04/1998";"-140,2"
"01/05/1998";"-214,0"
"01/06/1998";"108,5"
"01/07/1998";"-514,8"
"01/08/1998";"-260,1"
"01/09/1998";"-1306,0"
"01/10/1998";"-1533,1"
"01/11/1998";"-1110,5"
"01/12/1998";"-555,9"
"01/01/1999";"-792,7"
"01/02/1999";"38,8"
"01/03/1999";"-325,2"
"01/04/1999";"-66,2"
"01/05/1999";"214,4"
"01/06/1999";"-235,0"
"01/07/1999";"8,5"
"01/08/1999";"-274,3"
"01/09/1999";"-25,8"
"01/10/1999";"-201,4"
"01/11/1999";"-564,7"
"01/12/1999";"161,4"
"01/01/2000";"-174,0"
"01/02/2000";"48,7"
"01/03/2000";"-78,0"
"01/04/2000";"94,3"
"01/05/2000";"307,9"
"01/06/2000";"163,3"
"01/07/2000";"111,9"
"01/08/2000";"32,2"
"01/09/2000";"-453,3"
"01/10/2000";"-695,8"
"01/11/2000";"-863,4"
"01/12/2000";"-282,5"
"01/01/2001";"-557,0"
"01/02/2001";"-23,9"
"01/03/2001";"-366,6"
"01/04/2001";"28,7"
"01/05/2001";"106,5"
"01/06/2001";"191,4"
"01/07/2001";"20,0"
"01/08/2001";"548,3"
"01/09/2001";"511,9"
"01/10/2001";"119,8"
"01/11/2001";"201,0"
"01/12/2001";"756,6"
"01/01/2002";"103,9"
"01/02/2002";"172,8"
"01/03/2002";"514,6"
"01/04/2002";"396,6"
"01/05/2002";"269,3"
"01/06/2002";"569,1"
"01/07/2002";"1105,3"
"01/08/2002";"1501,5"
"01/09/2002";"2410,5"
"01/10/2002";"2088,5"
"01/11/2002";"1160,3"
"01/12/2002";"1711,3"
"01/01/2003";"1059,3"
"01/02/2003";"1022,7"
"01/03/2003";"1437,3"
"01/04/2003";"1616,2"
"01/05/2003";"2434,4"
"01/06/2003";"2262,3"
"01/07/2003";"1964,7"
"01/08/2003";"2585,1"
"01/09/2003";"2558,6"
"01/10/2003";"2424,8"
"01/11/2003";"1567,3"
"01/12/2003";"2643,4"
"01/01/2004";"1507,1"
"01/02/2004";"1897,7"
"01/03/2004";"2462,5"
"01/04/2004";"1841,5"
"01/05/2004";"2995,7"
"01/06/2004";"3668,0"
"01/07/2004";"3321,6"
"01/08/2004";"3317,9"
"01/09/2004";"3044,2"
"01/10/2004";"2879,3"
"01/11/2004";"1959,7"
"01/12/2004";"3388,5"
"01/01/2005";"2132,4"
"01/02/2005";"2709,5"
"01/03/2005";"3259,8"
"01/04/2005";"3811,4"
"01/05/2005";"3363,0"
"01/06/2005";"3909,8"
"01/07/2005";"4914,3"
"01/08/2005";"3536,8"
"01/09/2005";"4235,9"
"01/10/2005";"3568,0"
"01/11/2005";"3962,1"
"01/12/2005";"4318,5"
"01/01/2006";"2758,4"
"01/02/2006";"2711,6"
"01/03/2006";"3582,9"
"01/04/2006";"2957,3"
"01/05/2006";"2884,7"
"01/06/2006";"3959,6"
"01/07/2006";"5518,8"
"01/08/2006";"4504,4"
"01/09/2006";"4326,5"
"01/10/2006";"3835,0"
"01/11/2006";"3187,7"
"01/12/2006";"4951,0"
"01/01/2007";"2443,8"
"01/02/2007";"2780,3"
"01/03/2007";"3278,5"
"01/04/2007";"4062,1"
"01/05/2007";"3738,8"
"01/06/2007";"3665,1"
"01/07/2007";"3220,3"
"01/08/2007";"3415,9"
"01/09/2007";"3306,4"
"01/10/2007";"3240,7"
"01/11/2007";"1854,0"
"01/12/2007";"3492,3"
"01/01/2008";"823,1"
"01/02/2008";"710,7"
"01/03/2008";"853,3"
"01/04/2008";"1597,6"
"01/05/2008";"3947,0"
"01/06/2008";"2574,7"
"01/07/2008";"3205,0"
"01/08/2008";"2190,8"
"01/09/2008";"2604,0"
"01/10/2008";"1259,4"
"01/11/2008";"1480,8"
"01/12/2008";"2260,4"
"01/01/2009";"-541,7"
"01/02/2009";"1724,2"
"01/03/2009";"1727,7"
"01/04/2009";"3672,0"
"01/05/2009";"2551,3"
"01/06/2009";"4654,8"
"01/07/2009";"2864,4"
"01/08/2009";"3000,7"
"01/09/2009";"1232,8"
"01/10/2009";"1297,8"
"01/11/2009";"490,0"
"01/12/2009";"2116,2"
"01/01/2010";"-324,4"
"01/02/2010";"259,8"
"01/03/2010";"545,3"
"01/04/2010";"1139,1"
"01/05/2010";"3288,4"
"01/06/2010";"2104,2"
"01/07/2010";"1208,2"
"01/08/2010";"2265,4"
"01/09/2010";"935,9"
"01/10/2010";"1681,2"
"01/11/2010";"122,7"
"01/12/2010";"5132,1"
"01/01/2011";"184,6"
"01/02/2011";"986,3"
"01/03/2011";"1361,5"
"01/04/2011";"1633,5"
"01/05/2011";"3318,5"
"01/06/2011";"4263,7"
"01/07/2011";"2968,3"
"01/08/2011";"3710,3"
"01/09/2011";"2899,3"
"01/10/2011";"2170,1"
"01/11/2011";"372,2"
"01/12/2011";"3656,8"
"01/01/2012";"-1558,0"
"01/02/2012";"1513,1"
"01/03/2012";"1811,3"
"01/04/2012";"666,9"
"01/05/2012";"2771,9"
"01/06/2012";"610,1"
"01/07/2012";"2682,1"
"01/08/2012";"3018,9"
"01/09/2012";"2362,9"
"01/10/2012";"1357,6"
"01/11/2012";"-375,1"
"01/12/2012";"2046,8"
"01/01/2013";"-4183,8"
"01/02/2013";"-1440,6"
"01/03/2013";"15,4"
"01/04/2013";"-1161,2"
"01/05/2013";"593,8"
"01/06/2013";"2126,9"
"01/07/2013";"-2072,5"
"01/08/2013";"1025,9"
"01/09/2013";"1794,4"
"01/10/2013";"-402,9"
"01/11/2013";"1533,3"
"01/12/2013";"2540,2"
"01/01/2014";"-3890,6"
"01/02/2014";"-2344,0"
"01/03/2014";"-140,0"
"01/04/2014";"285,3"
"01/05/2014";"423,9"
"01/06/2014";"2122,5"
"01/07/2014";"1291,1"
"01/08/2014";"903,2"
"01/09/2014";"-1145,1"
"01/10/2014";"-1473,2"
"01/11/2014";"-2707,2"
"01/12/2014";"-65,1"
"01/01/2015";"-2877,8"
"01/02/2015";"-3097,7"
"01/03/2015";"148,9"
"01/04/2015";"272,6"
"01/05/2015";"2449,9"
"01/06/2015";"4309,9"
"01/07/2015";"2625,7"
"01/08/2015";"2366,0"
"01/09/2015";"2624,1"
"01/10/2015";"1676,4"
"01/11/2015";"898,9"
"01/12/2015";"6048,0"
"01/01/2016";"1116,2"
"01/02/2016";"2777,9"
"01/03/2016";"4123,3"
"01/04/2016";"4542,3"
"01/05/2016";"6127,0"
"01/06/2016";"3631,4"
"01/07/2016";"4245,1"
"01/08/2016";"3830,8"
"01/09/2016";"3522,7"
"01/10/2016";"2039,4"
"01/11/2016";"4448,4"
"01/12/2016";"4139,1"
"01/01/2017";"2426,9"
"01/02/2017";"4368,1"
"01/03/2017";"6418,5"
"01/04/2017";"6125,6"
"01/05/2017";"6712,0"
"01/06/2017";"6268,5"
"01/07/2017";"5383,8"
"01/08/2017";"4547,9"
"01/09/2017";"4301,3"
"01/10/2017";"4128,0"
"01/11/2017";"2559,0"
"01/12/2017";"4085,4"
"01/01/2018";"1695,6"
"01/02/2018";"1999,3"
"01/03/2018";"5355,6"
"01/04/2018";"4531,2"
"01/05/2018";"4950,1"
"01/06/2018";"4607,2"
"01/07/2018";"2638,4"
"01/08/2018";"1318,9"
"01/09/2018";"3867,9"
"01/10/2018";"4418,8"
"01/11/2018";"2704,4"
"01/12/2018";"5285,3"
"01/01/2019";"13,7"
"01/02/2019";"1703,6"
"01/03/2019";"2880,8"
"01/04/2019";"3981,1"
"01/05/2019";"3818,9"
"01/06/2019";"3603,9"
"01/07/2019";"326,5"
"01/08/2019";"1332,6"
"01/09/2019";"2192,5"
"01/10/2019";"598,5"
"01/11/2019";"1816,4"
"01/12/2019";"4278,2"
"01/01/2020";"-3622,6"
"01/02/2020";"716,8"
"01/03/2020";"2090,5"
"01/04/2020";"4877,1"
"01/05/2020";"3153,5"
"01/06/2020";"5877,6"
"01/07/2020";"6536,9"
"01/08/2020";"4945,9"
"01/09/2020";"4364,6"
"01/10/2020";"3683,5"
"01/11/2020";"1685,0"
"01/12/2020";"-1939,4"
"01/01/2021";"-2618,8"
"01/02/2021";"-356,7"
"01/03/2021";"-514,3"
"01/04/2021";"8759,0"
"01/05/2021";"7376,6"
"01/06/2021";"7451,7"
"01/07/2021";"6261,9"
"01/08/2021";"5670,0"
"01/09/2021";"2551,1"
"01/10/2021";"1367,3"
"01/11/2021";"-2333,3"
"01/12/2021";"2748,9"
"01/01/2022";"-1353,0"
"01/02/2022";"3553,6"
"01/03/2022";"6066,5"
"01/04/2022";"6811,0"
"01/05/2022";"3367,8"
"01/06/2022";"7330,2"
"01/07/2022";"4135,5"
"01/08/2022";"2546,7"
"01/09/2022";"2052,4"
"01/10/2022";"2130,6"
"01/11/2022";"5140,0"
