"data";"valor"
"01/01/1995";"-771,0"
"01/02/1995";"-801,3"
"01/03/1995";"-929,4"
"01/04/1995";"-1989,7"
"01/05/1995";"-533,9"
"01/06/1995";"-1196,9"
"01/07/1995";"-658,7"
"01/08/1995";"-407,1"
"01/09/1995";"-596,3"
"01/10/1995";"-1798,1"
"01/11/1995";"-377,9"
"01/12/1995";"-686,8"
"01/01/1996";"-868,9"
"01/02/1996";"-360,7"
"01/03/1996";"-868,9"
"01/04/1996";"-1550,4"
"01/05/1996";"-604,0"
"01/06/1996";"-676,1"
"01/07/1996";"-1085,7"
"01/08/1996";"-418,7"
"01/09/1996";"-928,2"
"01/10/1996";"-1816,6"
"01/11/1996";"-492,6"
"01/12/1996";"-1703,5"
"01/01/1997";"-950,0"
"01/02/1997";"-385,9"
"01/03/1997";"-853,8"
"01/04/1997";"-2217,7"
"01/05/1997";"-896,0"
"01/06/1997";"-1080,7"
"01/07/1997";"-1438,1"
"01/08/1997";"-704,6"
"01/09/1997";"-772,2"
"01/10/1997";"-2049,4"
"01/11/1997";"-1303,1"
"01/12/1997";"-1924,2"
"01/01/1998";"-761,8"
"01/02/1998";"-729,3"
"01/03/1998";"-828,1"
"01/04/1998";"-2092,0"
"01/05/1998";"-1256,5"
"01/06/1998";"-1975,2"
"01/07/1998";"-755,0"
"01/08/1998";"-869,0"
"01/09/1998";"-2611,0"
"01/10/1998";"-2515,2"
"01/11/1998";"-1093,2"
"01/12/1998";"-2354,0"
"01/01/1999";"-1245,4"
"01/02/1999";"-1026,8"
"01/03/1999";"-1609,1"
"01/04/1999";"-2218,1"
"01/05/1999";"-1480,0"
"01/06/1999";"-2097,9"
"01/07/1999";"-1142,2"
"01/08/1999";"-1309,4"
"01/09/1999";"-741,2"
"01/10/1999";"-1846,0"
"01/11/1999";"-1259,8"
"01/12/1999";"-2505,3"
"01/01/2000";"-496,3"
"01/02/2000";"-941,7"
"01/03/2000";"-1394,6"
"01/04/2000";"-2702,7"
"01/05/2000";"-1451,9"
"01/06/2000";"-2114,4"
"01/07/2000";"-767,7"
"01/08/2000";"-929,4"
"01/09/2000";"-1236,3"
"01/10/2000";"-2286,4"
"01/11/2000";"-1266,0"
"01/12/2000";"-1894,0"
"01/01/2001";"-1253,0"
"01/02/2001";"-1403,1"
"01/03/2001";"-1770,4"
"01/04/2001";"-2114,6"
"01/05/2001";"-1688,7"
"01/06/2001";"-1567,0"
"01/07/2001";"-1400,1"
"01/08/2001";"-1251,1"
"01/09/2001";"-1097,8"
"01/10/2001";"-2233,9"
"01/11/2001";"-1445,6"
"01/12/2001";"-2081,9"
"01/01/2002";"-1186,1"
"01/02/2002";"-1045,1"
"01/03/2002";"-1196,7"
"01/04/2002";"-2141,8"
"01/05/2002";"-1809,7"
"01/06/2002";"-1647,2"
"01/07/2002";"-1446,5"
"01/08/2002";"-1082,9"
"01/09/2002";"-1095,3"
"01/10/2002";"-2234,2"
"01/11/2002";"-1317,4"
"01/12/2002";"-1515,1"
"01/01/2003";"-1006,9"
"01/02/2003";"-1192,7"
"01/03/2003";"-1183,6"
"01/04/2003";"-2372,2"
"01/05/2003";"-1363,3"
"01/06/2003";"-1467,9"
"01/07/2003";"-1295,5"
"01/08/2003";"-1155,9"
"01/09/2003";"-979,5"
"01/10/2003";"-2113,1"
"01/11/2003";"-1867,2"
"01/12/2003";"-2137,3"
"01/01/2004";"-1039,5"
"01/02/2004";"-1785,2"
"01/03/2004";"-1665,5"
"01/04/2004";"-2485,1"
"01/05/2004";"-1675,3"
"01/06/2004";"-1506,8"
"01/07/2004";"-1469,3"
"01/08/2004";"-1426,7"
"01/09/2004";"-1183,1"
"01/10/2004";"-1874,2"
"01/11/2004";"-2051,0"
"01/12/2004";"-1944,8"
"01/01/2005";"-1328,8"
"01/02/2005";"-2503,8"
"01/03/2005";"-1372,3"
"01/04/2005";"-2804,2"
"01/05/2005";"-2333,1"
"01/06/2005";"-2014,7"
"01/07/2005";"-2033,0"
"01/08/2005";"-2339,7"
"01/09/2005";"-1510,1"
"01/10/2005";"-2468,6"
"01/11/2005";"-1652,4"
"01/12/2005";"-3191,8"
"01/01/2006";"-2978,2"
"01/02/2006";"-1769,0"
"01/03/2006";"-2055,7"
"01/04/2006";"-2614,6"
"01/05/2006";"-2170,1"
"01/06/2006";"-2769,9"
"01/07/2006";"-1902,6"
"01/08/2006";"-1711,2"
"01/09/2006";"-1760,8"
"01/10/2006";"-1692,8"
"01/11/2006";"-1473,0"
"01/12/2006";"-4086,9"
"01/01/2007";"-2390,7"
"01/02/2007";"-1919,7"
"01/03/2007";"-2276,1"
"01/04/2007";"-1852,7"
"01/05/2007";"-3142,0"
"01/06/2007";"-2224,5"
"01/07/2007";"-3290,9"
"01/08/2007";"-1520,1"
"01/09/2007";"-2035,4"
"01/10/2007";"-2460,6"
"01/11/2007";"-2505,1"
"01/12/2007";"-3382,1"
"01/01/2008";"-4844,0"
"01/02/2008";"-1817,8"
"01/03/2008";"-4548,9"
"01/04/2008";"-3945,3"
"01/05/2008";"-3347,5"
"01/06/2008";"-3908,5"
"01/07/2008";"-5135,1"
"01/08/2008";"-2334,8"
"01/09/2008";"-3859,3"
"01/10/2008";"-2192,2"
"01/11/2008";"-1865,7"
"01/12/2008";"-4006,7"
"01/01/2009";"-2607,9"
"01/02/2009";"-1720,9"
"01/03/2009";"-2155,1"
"01/04/2009";"-2235,8"
"01/05/2009";"-2940,2"
"01/06/2009";"-3472,2"
"01/07/2009";"-4223,8"
"01/08/2009";"-2369,3"
"01/09/2009";"-1952,5"
