"data";"valor"
"01/01/1995";"233,3"
"01/02/1995";"275,2"
"01/03/1995";"297,7"
"01/04/1995";"275,5"
"01/05/1995";"437,0"
"01/06/1995";"387,9"
"01/07/1995";"307,0"
"01/08/1995";"352,6"
"01/09/1995";"252,5"
"01/10/1995";"268,0"
"01/11/1995";"288,8"
"01/12/1995";"247,0"
"01/01/1996";"258,7"
"01/02/1996";"239,6"
"01/03/1996";"276,9"
"01/04/1996";"245,4"
"01/05/1996";"224,5"
"01/06/1996";"166,2"
"01/07/1996";"193,7"
"01/08/1996";"179,2"
"01/09/1996";"165,0"
"01/10/1996";"184,9"
"01/11/1996";"149,7"
"01/12/1996";"162,8"
"01/01/1997";"208,8"
"01/02/1997";"144,1"
"01/03/1997";"145,9"
"01/04/1997";"159,4"
"01/05/1997";"149,3"
"01/06/1997";"145,5"
"01/07/1997";"132,0"
"01/08/1997";"134,4"
"01/09/1997";"147,3"
"01/10/1997";"158,9"
"01/11/1997";"144,4"
"01/12/1997";"152,8"
"01/01/1998";"119,4"
"01/02/1998";"106,4"
"01/03/1998";"134,3"
"01/04/1998";"96,9"
"01/05/1998";"111,3"
"01/06/1998";"121,4"
"01/07/1998";"161,9"
"01/08/1998";"105,3"
"01/09/1998";"100,9"
"01/10/1998";"132,1"
"01/11/1998";"126,0"
"01/12/1998";"142,1"
"01/01/1999";"119,3"
"01/02/1999";"179,0"
"01/03/1999";"181,2"
"01/04/1999";"144,7"
"01/05/1999";"116,5"
"01/06/1999";"153,9"
"01/07/1999";"147,0"
"01/08/1999";"140,2"
"01/09/1999";"112,9"
"01/10/1999";"130,1"
"01/11/1999";"120,7"
"01/12/1999";"143,8"
"01/01/2000";"114,4"
"01/02/2000";"108,1"
"01/03/2000";"125,9"
"01/04/2000";"121,3"
"01/05/2000";"141,4"
"01/06/2000";"124,1"
"01/07/2000";"112,6"
"01/08/2000";"132,8"
"01/09/2000";"116,5"
"01/10/2000";"137,6"
