"data";"valor"
"01/01/1995";"-475,0"
"01/02/1995";"-375,6"
"01/03/1995";"-595,1"
"01/04/1995";"-598,7"
"01/05/1995";"-572,3"
"01/06/1995";"-646,7"
"01/07/1995";"-684,2"
"01/08/1995";"-649,7"
"01/09/1995";"-619,9"
"01/10/1995";"-658,1"
"01/11/1995";"-561,1"
"01/12/1995";"-580,3"
"01/01/1996";"-623,2"
"01/02/1996";"-454,0"
"01/03/1996";"-425,1"
"01/04/1996";"-553,8"
"01/05/1996";"-715,2"
"01/06/1996";"-702,4"
"01/07/1996";"-1072,2"
"01/08/1996";"-669,7"
"01/09/1996";"-704,8"
"01/10/1996";"-752,9"
"01/11/1996";"-758,1"
"01/12/1996";"-847,6"
"01/01/1997";"-806,6"
"01/02/1997";"-755,9"
"01/03/1997";"-675,2"
"01/04/1997";"-879,6"
"01/05/1997";"-837,7"
"01/06/1997";"-1176,0"
"01/07/1997";"-1300,1"
"01/08/1997";"-936,4"
"01/09/1997";"-984,7"
"01/10/1997";"-1149,0"
"01/11/1997";"-864,3"
"01/12/1997";"-1264,5"
"01/01/1998";"-842,2"
"01/02/1998";"-692,9"
"01/03/1998";"-880,1"
"01/04/1998";"-826,8"
"01/05/1998";"-813,4"
"01/06/1998";"-851,3"
"01/07/1998";"-1089,1"
"01/08/1998";"-848,4"
"01/09/1998";"-1195,6"
"01/10/1998";"-1181,9"
"01/11/1998";"-750,2"
"01/12/1998";"-1011,5"
"01/01/1999";"-641,6"
"01/02/1999";"-311,6"
"01/03/1999";"-407,5"
"01/04/1999";"-592,1"
"01/05/1999";"-559,7"
"01/06/1999";"-875,4"
"01/07/1999";"-690,8"
"01/08/1999";"-678,0"
"01/09/1999";"-822,6"
"01/10/1999";"-690,0"
"01/11/1999";"-736,6"
"01/12/1999";"-923,7"
"01/01/2000";"-493,2"
"01/02/2000";"-521,9"
"01/03/2000";"-702,9"
"01/04/2000";"-635,3"
"01/05/2000";"-764,6"
"01/06/2000";"-769,0"
"01/07/2000";"-939,6"
"01/08/2000";"-884,0"
"01/09/2000";"-252,3"
"01/10/2000";"-882,9"
"01/11/2000";"-859,6"
"01/12/2000";"-1076,5"
"01/01/2001";"-748,4"
"01/02/2001";"-608,0"
"01/03/2001";"-776,5"
"01/04/2001";"-546,2"
"01/05/2001";"-920,7"
"01/06/2001";"-993,8"
"01/07/2001";"-914,0"
"01/08/2001";"-699,5"
"01/09/2001";"-578,7"
"01/10/2001";"-643,1"
"01/11/2001";"-583,7"
"01/12/2001";"-744,4"
"01/01/2002";"-350,0"
"01/02/2002";"-446,9"
"01/03/2002";"-575,3"
"01/04/2002";"-628,8"
"01/05/2002";"-647,9"
"01/06/2002";"-510,5"
"01/07/2002";"-600,6"
"01/08/2002";"-477,4"
"01/09/2002";"-473,7"
"01/10/2002";"-338,2"
"01/11/2002";"-377,7"
"01/12/2002";"-655,7"
"01/01/2003";"-263,1"
"01/02/2003";"-358,2"
"01/03/2003";"-386,6"
"01/04/2003";"-551,2"
"01/05/2003";"-566,0"
"01/06/2003";"-677,0"
"01/07/2003";"-496,6"
"01/08/2003";"-583,4"
"01/09/2003";"-660,6"
"01/10/2003";"-649,3"
"01/11/2003";"-300,5"
"01/12/2003";"-622,3"
"01/01/2004";"-192,2"
"01/02/2004";"-290,6"
"01/03/2004";"-528,6"
"01/04/2004";"-546,9"
"01/05/2004";"-365,1"
"01/06/2004";"-696,2"
"01/07/2004";"-599,5"
"01/08/2004";"-657,1"
"01/09/2004";"-592,8"
"01/10/2004";"-503,7"
"01/11/2004";"-662,0"
"01/12/2004";"-819,8"
"01/01/2005";"-439,9"
"01/02/2005";"-502,3"
"01/03/2005";"-648,1"
"01/04/2005";"-710,0"
"01/05/2005";"-982,5"
"01/06/2005";"-1115,9"
"01/07/2005";"-837,6"
"01/08/2005";"-969,7"
"01/09/2005";"-865,6"
"01/10/2005";"-738,3"
"01/11/2005";"-1100,1"
"01/12/2005";"-1137,4"
"01/01/2006";"-620,6"
"01/02/2006";"-785,7"
"01/03/2006";"-843,3"
"01/04/2006";"-771,0"
"01/05/2006";"-940,9"
"01/06/2006";"-1170,6"
"01/07/2006";"-1133,7"
"01/08/2006";"-1232,1"
"01/09/2006";"-1046,5"
"01/10/2006";"-1207,5"
"01/11/2006";"-958,0"
"01/12/2006";"-1015,4"
"01/01/2007";"-1010,1"
"01/02/2007";"-1036,5"
"01/03/2007";"-1355,2"
"01/04/2007";"-1000,9"
"01/05/2007";"-1439,0"
"01/06/2007";"-1581,4"
"01/07/2007";"-1549,5"
"01/08/2007";"-1315,7"
"01/09/2007";"-1310,1"
"01/10/2007";"-1647,9"
"01/11/2007";"-1588,0"
"01/12/2007";"-1446,7"
"01/01/2008";"-1385,0"
"01/02/2008";"-1582,9"
"01/03/2008";"-1350,8"
"01/04/2008";"-1427,1"
"01/05/2008";"-2239,1"
"01/06/2008";"-2265,3"
"01/07/2008";"-2028,3"
"01/08/2008";"-1874,8"
"01/09/2008";"-2389,6"
"01/10/2008";"-1313,9"
"01/11/2008";"-1514,0"
"01/12/2008";"-2156,1"
"01/01/2009";"-891,9"
"01/02/2009";"-1133,6"
"01/03/2009";"-1675,1"
"01/04/2009";"-1808,8"
"01/05/2009";"-1955,9"
"01/06/2009";"-2297,4"
"01/07/2009";"-1764,0"
"01/08/2009";"-1956,3"
"01/09/2009";"-2336,1"
"01/10/2009";"-2378,1"
"01/11/2009";"-2038,6"
"01/12/2009";"-2238,0"
"01/01/2010";"-1666,2"
"01/02/2010";"-2397,2"
"01/03/2010";"-3399,5"
"01/04/2010";"-2886,8"
"01/05/2010";"-3088,2"
"01/06/2010";"-3310,0"
"01/07/2010";"-3439,0"
"01/08/2010";"-3275,2"
"01/09/2010";"-3871,2"
"01/10/2010";"-3574,9"
"01/11/2010";"-3364,7"
"01/12/2010";"-3454,1"
"01/01/2011";"-2963,0"
"01/02/2011";"-2775,0"
"01/03/2011";"-3551,6"
"01/04/2011";"-3630,2"
"01/05/2011";"-4316,7"
"01/06/2011";"-3987,6"
"01/07/2011";"-4063,9"
"01/08/2011";"-4045,2"
"01/09/2011";"-3646,2"
"01/10/2011";"-3847,5"
"01/11/2011";"-3359,9"
"01/12/2011";"-4167,9"
"01/01/2012";"-3934,5"
"01/02/2012";"-3287,1"
"01/03/2012";"-3912,2"
"01/04/2012";"-3729,3"
"01/05/2012";"-4366,3"
"01/06/2012";"-3934,2"
"01/07/2012";"-4130,3"
"01/08/2012";"-3701,5"
"01/09/2012";"-4081,5"
"01/10/2012";"-4726,5"
"01/11/2012";"-3851,7"
"01/12/2012";"-4892,8"
"01/01/2013";"-4273,5"
"01/02/2013";"-3763,3"
"01/03/2013";"-4349,3"
"01/04/2013";"-4520,7"
"01/05/2013";"-4926,0"
"01/06/2013";"-3873,2"
"01/07/2013";"-4717,7"
"01/08/2013";"-4812,7"
"01/09/2013";"-5144,2"
"01/10/2013";"-5553,9"
"01/11/2013";"-4173,3"
"01/12/2013";"-4844,5"
"01/01/2014";"-4021,5"
"01/02/2014";"-4164,2"
"01/03/2014";"-4352,3"
"01/04/2014";"-5057,1"
"01/05/2014";"-5166,2"
"01/06/2014";"-4337,5"
"01/07/2014";"-5172,1"
"01/08/2014";"-4514,3"
"01/09/2014";"-5351,4"
"01/10/2014";"-4986,9"
"01/11/2014";"-4391,3"
"01/12/2014";"-5537,6"
"01/01/2015";"-4389,0"
"01/02/2015";"-3557,5"
"01/03/2015";"-4574,1"
"01/04/2015";"-4221,6"
"01/05/2015";"-4100,7"
"01/06/2015";"-4167,7"
"01/07/2015";"-4039,3"
"01/08/2015";"-3296,3"
"01/09/2015";"-3620,0"
"01/10/2015";"-3475,7"
"01/11/2015";"-3029,5"
"01/12/2015";"-3198,7"
"01/01/2016";"-1819,0"
"01/02/2016";"-2424,1"
"01/03/2016";"-3431,7"
"01/04/2016";"-3037,1"
"01/05/2016";"-2991,3"
"01/06/2016";"-4144,0"
"01/07/2016";"-2816,7"
"01/08/2016";"-2777,4"
"01/09/2016";"-3112,4"
"01/10/2016";"-3297,7"
"01/11/2016";"-2877,5"
"01/12/2016";"-3927,0"
"01/01/2017";"-3022,0"
"01/02/2017";"-3029,6"
"01/03/2017";"-3197,5"
"01/04/2017";"-3127,6"
"01/05/2017";"-3108,1"
"01/06/2017";"-3841,5"
"01/07/2017";"-3674,1"
"01/08/2017";"-3604,9"
"01/09/2017";"-3561,8"
"01/10/2017";"-3369,4"
"01/11/2017";"-3746,6"
"01/12/2017";"-4345,2"
"01/01/2018";"-3183,5"
"01/02/2018";"-2941,7"
"01/03/2018";"-3174,2"
"01/04/2018";"-3150,4"
"01/05/2018";"-3146,6"
"01/06/2018";"-3383,3"
"01/07/2018";"-3507,5"
"01/08/2018";"-3520,5"
"01/09/2018";"-2793,5"
"01/10/2018";"-3650,4"
"01/11/2018";"-3125,5"
"01/12/2018";"-3750,7"
"01/01/2019";"-3128,1"
"01/02/2019";"-2665,0"
"01/03/2019";"-2662,1"
"01/04/2019";"-3504,3"
"01/05/2019";"-3467,7"
"01/06/2019";"-3704,5"
"01/07/2019";"-3684,4"
"01/08/2019";"-2582,6"
"01/09/2019";"-2731,1"
"01/10/2019";"-3933,8"
"01/11/2019";"-2569,1"
"01/12/2019";"-3848,4"
"01/01/2020";"-2418,8"
"01/02/2020";"-2692,2"
"01/03/2020";"-2226,9"
"01/04/2020";"-1611,3"
"01/05/2020";"-2018,1"
"01/06/2020";"-1348,7"
"01/07/2020";"-2288,9"
"01/08/2020";"-1683,0"
"01/09/2020";"-1980,9"
"01/10/2020";"-1996,4"
"01/11/2020";"-2229,9"
"01/12/2020";"-2162,0"
"01/01/2021";"-1644,4"
"01/02/2021";"-1939,7"
"01/03/2021";"-1672,0"
"01/04/2021";"-1842,1"
"01/05/2021";"-2276,6"
"01/06/2021";"-2297,0"
"01/07/2021";"-2202,0"
"01/08/2021";"-2442,7"
"01/09/2021";"-2328,8"
"01/10/2021";"-2477,7"
"01/11/2021";"-2761,1"
"01/12/2021";"-3072,9"
"01/01/2022";"-2544,5"
"01/02/2022";"-2792,4"
"01/03/2022";"-3326,1"
"01/04/2022";"-3198,0"
"01/05/2022";"-3413,1"
"01/06/2022";"-4186,5"
"01/07/2022";"-3175,3"
"01/08/2022";"-3673,1"
"01/09/2022";"-3040,6"
"01/10/2022";"-3450,7"
"01/11/2022";"-2548,9"
